family,domain,mr_or,mr_ci_low,mr_ci_high,conversion_factor_s,d_lower_signed,d_point_signed,d_upper_signed,ci_excludes_null,scale_unresolved,mr_state,registered_mr_class,alignment_flag,alignment_source,registered_classification,drug_outcome,registered_correct,status
Metabolic-AD,neuro,1.01,,,,,0.0055,,,False,inconclusive,null,aligned,,qualitative discordance,Failed,True,pre-registered
ModRisk-AD,neuro,1.1,,,,,0.0525,,,False,inconclusive,null,aligned,,qualitative discordance,Failed,True,pre-registered
Anti-CD20-MS,neuro,0.83,0.79,0.89,,-0.13,-0.1027,-0.0642,True,False,supportive,causal,instrument-target mismatch,"the MR instrument captures circulating FCRL3-mediated B-cell biology, while ocrelizumab depletes CD20+ B cells via antibody-dependent cellular cytotoxicity",concordance,Approved,True,pre-registered
Smoking-MS/AD,neuro,1.03,,,,,0.0163,,,False,inconclusive,null,aligned,,qualitative discordance,Failed,True,pre-registered
HRT-AD,neuro,1.0,0.85,1.18,,-0.0896,0.0,0.0913,False,False,negligible_range,null,aligned,,qualitative discordance,Failed,True,pre-registered
BMI-MS,neuro,1.41,1.2,1.66,,0.1005,0.1894,0.2794,True,False,supportive,causal,aligned,,concordance,Pending,,pending
BMI-AD,neuro,1.03,1.01,1.05,,0.0055,0.0163,0.0269,True,False,negligible_range,null,aligned,,qualitative discordance,Failed,True,pre-registered
VitaminD-MS,neuro,2.0,1.7,2.5,,0.2926,0.3822,0.5052,True,False,supportive,causal,aligned,,concordance,Failed,False,pre-registered
EBV-MS,neuro,5.0,2.0,20.0,,0.3822,0.8873,1.6516,True,True,supportive,causal,aligned,,concordance,Approved,True,pre-registered
HDL/CETP,cardio,0.93,0.68,1.26,,-0.2126,-0.04,0.1274,False,False,inconclusive,null,aligned,,qualitative discordance,Failed,True,pre-registered
Niacin/HDL,cardio,0.93,0.68,1.26,,-0.2126,-0.04,0.1274,False,False,inconclusive,null,aligned,,qualitative discordance,Failed,True,pre-registered
Homocysteine,cardio,1.02,0.98,1.07,,-0.0111,0.0109,0.0373,False,False,negligible_range,null,aligned,,qualitative discordance,Failed,True,pre-registered
CRP,cardio,1.0,0.97,1.02,,-0.0168,0.0,0.0109,False,False,negligible_range,null,aligned,,qualitative discordance,No benefit,True,pre-registered
Uric acid,cardio,1.05,0.92,1.2,,-0.046,0.0269,0.1005,False,False,inconclusive,null,aligned,,null concordance,Failed,,ambiguous
LDL/PCSK9,cardio,1.78,1.58,2.01,,0.2522,0.3179,0.3849,True,False,supportive,causal,aligned,,concordance,Approved,True,pre-registered
Blood pressure,cardio,1.44,1.35,1.55,,0.1655,0.201,0.2416,True,False,supportive,causal,aligned,,concordance,Approved,True,pre-registered
Triglycerides,cardio,1.62,1.24,2.11,,0.1186,0.266,0.4117,True,False,supportive,causal,aligned,,concordance,Approved,True,pre-registered
Lp(a),cardio,0.94,0.93,0.95,,-0.04,-0.0341,-0.0283,True,False,negligible_range,null,aligned,,null concordance,Pending,,pending
IL-6R,cardio,0.95,0.93,0.97,0.34,-0.1177,-0.0832,-0.0494,True,False,inconclusive,null,instrument-target mismatch,the MR instrument uses variants in IL6R while ziltivekimab targets the IL-6 ligand,qualitative discordance,Pending,,pending
IL-23-psoriasis,autoimmune,0.616,0.563,0.674,,-0.3167,-0.2671,-0.2175,True,True,supportive,causal,aligned,,concordance,Approved,True,pre-registered
