ti_uid,target,indication_mesh_term,combined_max_phase,succ_3_a,year_launch,areas,assoc_source,pubmed_query,n_results_read,mr_eligible,evidence_pmid,note
ROS1-D002289,ROS1,"Carcinoma, Non-Small-Cell Lung",Launched,TRUE,2019,oncology,PICCOLO,"""ROS1""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Carcinoma, Non-Small-Cell Lung""[MeSH Terms] OR ""Carcinoma, Non-Small-Cell Lung""[All Fields])",,,,
PPARA-D015228,PPARA,Hypertriglyceridemia,Launched,TRUE,,metabolic,OTG,"""PPARA""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hypertriglyceridemia""[MeSH Terms] OR ""Hypertriglyceridemia""[All Fields])",,,,
RPE65-D057130,RPE65,Leber Congenital Amaurosis,Launched,TRUE,,ophthalmology,OMIM,"""RPE65""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Leber Congenital Amaurosis""[MeSH Terms] OR ""Leber Congenital Amaurosis""[All Fields])",,,,
GRM3-D001008,GRM3,Anxiety Disorders,Phase III,FALSE,,psychiatry,OTG,"""GRM3""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Anxiety Disorders""[MeSH Terms] OR ""Anxiety Disorders""[All Fields])",,,,
CETP-D006938,CETP,Hyperlipoproteinemia Type II,Phase III,FALSE,,"congenital, metabolic",OTG,"""CETP""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hyperlipoproteinemia Type II""[MeSH Terms] OR ""Hyperlipoproteinemia Type II""[All Fields])",,,,
JAK2-D055728,JAK2,Primary Myelofibrosis,Launched,TRUE,2017,hematology,OTG,"""JAK2""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Primary Myelofibrosis""[MeSH Terms] OR ""Primary Myelofibrosis""[All Fields])",,,,
ABCC8-D003924,ABCC8,"Diabetes Mellitus, Type 2",Launched,TRUE,,"metabolic, endocrine",OMIM,"""ABCC8""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Diabetes Mellitus, Type 2""[MeSH Terms] OR ""Diabetes Mellitus, Type 2""[All Fields])",,,,
KCNH2-D001281,KCNH2,Atrial Fibrillation,Launched,TRUE,2021,"cardiovascular, signs/symptoms",OTG,"""KCNH2""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Atrial Fibrillation""[MeSH Terms] OR ""Atrial Fibrillation""[All Fields])",,,,
AR-D011471,AR,Prostatic Neoplasms,Launched,TRUE,2022,oncology,OTG,"""AR""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Prostatic Neoplasms""[MeSH Terms] OR ""Prostatic Neoplasms""[All Fields])",,,,
MC4R-D009765,MC4R,Obesity,Launched,TRUE,2022,"metabolic, signs/symptoms",Genebass,"""MC4R""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Obesity""[MeSH Terms] OR ""Obesity""[All Fields])",,,,
PKLR-D000746,PKLR,"Anemia, Hemolytic, Congenital Nonspherocytic",Launched,TRUE,,"hematology, congenital",OMIM,"""PKLR""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Anemia, Hemolytic, Congenital Nonspherocytic""[MeSH Terms] OR ""Anemia, Hemolytic, Congenital Nonspherocytic""[All Fields])",,,,
VEGFA-D009216,VEGFA,Myopia,Launched,TRUE,2022,ophthalmology,OTG,"""VEGFA""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Myopia""[MeSH Terms] OR ""Myopia""[All Fields])",,,,
KCNJ11-D003924,KCNJ11,"Diabetes Mellitus, Type 2",Launched,TRUE,,"metabolic, endocrine",OTG,"""KCNJ11""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Diabetes Mellitus, Type 2""[MeSH Terms] OR ""Diabetes Mellitus, Type 2""[All Fields])",,,,
ADRB2-D006973,ADRB2,Hypertension,Launched,TRUE,2007,cardiovascular,OTG,"""ADRB2""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hypertension""[MeSH Terms] OR ""Hypertension""[All Fields])",,,,
APOC3-D008072,APOC3,Hyperlipoproteinemia Type I,Launched,TRUE,,"congenital, metabolic",OMIM,"""APOC3""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hyperlipoproteinemia Type I""[MeSH Terms] OR ""Hyperlipoproteinemia Type I""[All Fields])",,,,
RYR1-D008305,RYR1,Malignant Hyperthermia,Launched,TRUE,2014,signs/symptoms,OMIM,"""RYR1""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Malignant Hyperthermia""[MeSH Terms] OR ""Malignant Hyperthermia""[All Fields])",,,,
PPARG-D006949,PPARG,Hyperlipidemias,Launched,TRUE,2013,metabolic,OTG,"""PPARG""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hyperlipidemias""[MeSH Terms] OR ""Hyperlipidemias""[All Fields])",,,,
NR3C1-D001249,NR3C1,Asthma,Launched,TRUE,2001,"respiratory, immune",OTG,"""NR3C1""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Asthma""[MeSH Terms] OR ""Asthma""[All Fields])",,,,
IL6R-D013167,IL6R,"Spondylitis, Ankylosing",Phase III,FALSE,,musculoskeletal,OTG,"""IL6R""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Spondylitis, Ankylosing""[MeSH Terms] OR ""Spondylitis, Ankylosing""[All Fields])",,,,
PPARA-D009765,PPARA,Obesity,Launched,TRUE,,"metabolic, signs/symptoms",OTG,"""PPARA""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Obesity""[MeSH Terms] OR ""Obesity""[All Fields])",,,,
IL12B-D013167,IL12B,"Spondylitis, Ankylosing",Phase III,FALSE,,musculoskeletal,OTG,"""IL12B""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Spondylitis, Ankylosing""[MeSH Terms] OR ""Spondylitis, Ankylosing""[All Fields])",,,,
PPARG-D009765,PPARG,Obesity,Launched,TRUE,,"metabolic, signs/symptoms",Genebass,"""PPARG""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Obesity""[MeSH Terms] OR ""Obesity""[All Fields])",,,,
APOB-D006938,APOB,Hyperlipoproteinemia Type II,Launched,TRUE,,"congenital, metabolic",OMIM,"""APOB""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hyperlipoproteinemia Type II""[MeSH Terms] OR ""Hyperlipoproteinemia Type II""[All Fields])",,,,
KCNJ11-D003920,KCNJ11,Diabetes Mellitus,Launched,TRUE,2019,"metabolic, endocrine",OMIM,"""KCNJ11""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Diabetes Mellitus""[MeSH Terms] OR ""Diabetes Mellitus""[All Fields])",,,,
NR1H4-D008105,NR1H4,"Liver Cirrhosis, Biliary",Launched,TRUE,,"digestive, signs/symptoms",OMIM,"""NR1H4""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Liver Cirrhosis, Biliary""[MeSH Terms] OR ""Liver Cirrhosis, Biliary""[All Fields])",,,,
