ti_uid,target,indication_mesh_term,combined_max_phase,succ_3_a,year_launch,areas,assoc_source,pubmed_query,n_results_read,mr_eligible,evidence_pmid,note,run_at
ROS1-D002289,ROS1,"Carcinoma, Non-Small-Cell Lung",Launched,TRUE,2019,oncology,PICCOLO,"""ROS1""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Carcinoma, Non-Small-Cell Lung""[MeSH Terms] OR ""Carcinoma, Non-Small-Cell Lung""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:10+00:00
PPARA-D015228,PPARA,Hypertriglyceridemia,Launched,TRUE,,metabolic,OTG,"""PPARA""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hypertriglyceridemia""[MeSH Terms] OR ""Hypertriglyceridemia""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:11+00:00
RPE65-D057130,RPE65,Leber Congenital Amaurosis,Launched,TRUE,,ophthalmology,OMIM,"""RPE65""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Leber Congenital Amaurosis""[MeSH Terms] OR ""Leber Congenital Amaurosis""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:13+00:00
GRM3-D001008,GRM3,Anxiety Disorders,Phase III,FALSE,,psychiatry,OTG,"""GRM3""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Anxiety Disorders""[MeSH Terms] OR ""Anxiety Disorders""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:14+00:00
CETP-D006938,CETP,Hyperlipoproteinemia Type II,Phase III,FALSE,,"congenital, metabolic",OTG,"""CETP""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hyperlipoproteinemia Type II""[MeSH Terms] OR ""Hyperlipoproteinemia Type II""[All Fields])",1,no,,single result (PMID 34233476) is a GWAS of HDL-C that names CETP as a locus; it reports no MR estimate,2026-09-22T18:17:15+00:00
JAK2-D055728,JAK2,Primary Myelofibrosis,Launched,TRUE,2017,hematology,OTG,"""JAK2""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Primary Myelofibrosis""[MeSH Terms] OR ""Primary Myelofibrosis""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:18+00:00
ABCC8-D003924,ABCC8,"Diabetes Mellitus, Type 2",Launched,TRUE,,"metabolic, endocrine",OMIM,"""ABCC8""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Diabetes Mellitus, Type 2""[MeSH Terms] OR ""Diabetes Mellitus, Type 2""[All Fields])",4,no,,"all 4 results are drug-target MR papers with ABCC8 as the exposure and cancer, perinatal, IBD or cardiovascular-kidney-metabolic endpoints as outcomes; type 2 diabetes enters only as the GWAS used to select instruments, never as the outcome",2026-09-22T18:17:28+00:00
KCNH2-D001281,KCNH2,Atrial Fibrillation,Launched,TRUE,2021,"cardiovascular, signs/symptoms",OTG,"""KCNH2""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Atrial Fibrillation""[MeSH Terms] OR ""Atrial Fibrillation""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:31+00:00
AR-D011471,AR,Prostatic Neoplasms,Launched,TRUE,2022,oncology,OTG,"""AR""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Prostatic Neoplasms""[MeSH Terms] OR ""Prostatic Neoplasms""[All Fields])",2,no,,2 results: MR of blood/urine biomarkers on prostate cancer (PMID 40068042) and a drug-target MR of PCSK9 on prostate cancer inside a Wnt5a cell study (PMID 40102900); neither has AR as the exposure,2026-09-22T18:17:32+00:00
MC4R-D009765,MC4R,Obesity,Launched,TRUE,2022,"metabolic, signs/symptoms",Genebass,"""MC4R""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Obesity""[MeSH Terms] OR ""Obesity""[All Fields])",11,no,,"all 11 results use the MC4R rs17782313 variant as an instrument for BMI (obesity as the exposure) on other outcomes, or are gene-prioritization or review papers; no MR estimate with obesity as the outcome of an MC4R exposure",2026-09-22T18:17:35+00:00
PKLR-D000746,PKLR,"Anemia, Hemolytic, Congenital Nonspherocytic",Launched,TRUE,,"hematology, congenital",OMIM,"""PKLR""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Anemia, Hemolytic, Congenital Nonspherocytic""[MeSH Terms] OR ""Anemia, Hemolytic, Congenital Nonspherocytic""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:37+00:00
VEGFA-D009216,VEGFA,Myopia,Launched,TRUE,2022,ophthalmology,OTG,"""VEGFA""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Myopia""[MeSH Terms] OR ""Myopia""[All Fields])",1,yes,39094556,"MR of plasma VEGF-A on spherical-equivalent refractive error (continuous myopic refractive error), not on a myopia diagnosis; two-sample MR, NSPHS exposure and UK Biobank outcome",2026-09-22T18:17:39+00:00
KCNJ11-D003924,KCNJ11,"Diabetes Mellitus, Type 2",Launched,TRUE,,"metabolic, endocrine",OTG,"""KCNJ11""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Diabetes Mellitus, Type 2""[MeSH Terms] OR ""Diabetes Mellitus, Type 2""[All Fields])",7,yes,40204939,cis-eQTL MR of KCNJ11 expression on T2DM with colocalization support; PMID 38915894 also names KCNJ11 as a druggable-genome MR hit for T2DM but its abstract gives no estimate or CI,2026-09-22T18:17:44+00:00
ADRB2-D006973,ADRB2,Hypertension,Launched,TRUE,2007,cardiovascular,OTG,"""ADRB2""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hypertension""[MeSH Terms] OR ""Hypertension""[All Fields])",2,no,,"2 results are MR of ADRB2 expression on Parkinson's disease (PMID 37964359) and on pancreatic outcomes (PMID 42765498); hypertension appears only as the drug-class context, never as the outcome",2026-09-22T18:17:47+00:00
APOC3-D008072,APOC3,Hyperlipoproteinemia Type I,Launched,TRUE,,"congenital, metabolic",OMIM,"""APOC3""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hyperlipoproteinemia Type I""[MeSH Terms] OR ""Hyperlipoproteinemia Type I""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:49+00:00
RYR1-D008305,RYR1,Malignant Hyperthermia,Launched,TRUE,2014,signs/symptoms,OMIM,"""RYR1""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Malignant Hyperthermia""[MeSH Terms] OR ""Malignant Hyperthermia""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:51+00:00
PPARG-D006949,PPARG,Hyperlipidemias,Launched,TRUE,2013,metabolic,OTG,"""PPARG""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Hyperlipidemias""[MeSH Terms] OR ""Hyperlipidemias""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:52+00:00
NR3C1-D001249,NR3C1,Asthma,Launched,TRUE,2001,"respiratory, immune",OTG,"""NR3C1""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Asthma""[MeSH Terms] OR ""Asthma""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:53+00:00
IL6R-D013167,IL6R,"Spondylitis, Ankylosing",Phase III,FALSE,,musculoskeletal,OTG,"""IL6R""[All Fields] AND ""mendelian randomization""[All Fields] AND (""Spondylitis, Ankylosing""[MeSH Terms] OR ""Spondylitis, Ankylosing""[All Fields])",0,no,,no results returned by the fixed query,2026-09-22T18:17:54+00:00
