ti_uid,target,indication_mesh_term,combined_max_phase,succ_3_a,year_launch,areas,assoc_source
ABCC8-D003920,ABCC8,Diabetes Mellitus,Launched,TRUE,2019,"metabolic, endocrine",OMIM
ABCC8-D003924,ABCC8,"Diabetes Mellitus, Type 2",Launched,TRUE,,"metabolic, endocrine",OMIM
ABCD1-D000326,ABCD1,Adrenoleukodystrophy,Launched,TRUE,,"neurology, congenital, metabolic, endocrine",OMIM
ACE-D006973,ACE,Hypertension,Launched,TRUE,2013,cardiovascular,OTG
ADA-D016511,ADA,Severe Combined Immunodeficiency,Launched,TRUE,2019,"congenital, metabolic, immune",OMIM
ADRA1A-D006973,ADRA1A,Hypertension,Phase III,FALSE,,cardiovascular,OTG
ADRA2C-D006973,ADRA2C,Hypertension,Launched,TRUE,,cardiovascular,OTG
ADRB1-D006973,ADRB1,Hypertension,Launched,TRUE,,cardiovascular,OTG
ADRB2-D001249,ADRB2,Asthma,Launched,TRUE,2004,"respiratory, immune",OTG
ADRB2-D006973,ADRB2,Hypertension,Launched,TRUE,2007,cardiovascular,OTG
ADRB2-D029424,ADRB2,"Pulmonary Disease, Chronic Obstructive",Launched,TRUE,2009,respiratory,OTG
AGT-D006973,AGT,Hypertension,Launched,TRUE,,cardiovascular,OTG
ALPL-D007014,ALPL,Hypophosphatasia,Launched,TRUE,,"congenital, metabolic",OMIM
ANGPTL3-D006938,ANGPTL3,Hyperlipoproteinemia Type II,Launched,TRUE,2021,"congenital, metabolic",Genebass
APOB-D006937,APOB,Hypercholesterolemia,Phase III,FALSE,,metabolic,Genebass
APOB-D006938,APOB,Hyperlipoproteinemia Type II,Launched,TRUE,,"congenital, metabolic",OMIM
APOC3-D008072,APOC3,Hyperlipoproteinemia Type I,Launched,TRUE,,"congenital, metabolic",OMIM
APOC3-D015228,APOC3,Hypertriglyceridemia,Launched,TRUE,,metabolic,Genebass
APP-D000544,APP,Alzheimer Disease,Launched,TRUE,2021,"neurology, psychiatry",OMIM
AR-D011471,AR,Prostatic Neoplasms,Launched,TRUE,2022,oncology,OTG
AVPR1A-D018805,AVPR1A,Sepsis,Phase III,FALSE,,"infection, signs/symptoms",OTG
BCL2-D015451,BCL2,"Leukemia, Lymphocytic, Chronic, B-Cell",Launched,TRUE,2018,oncology,OTG
CACNA2D1-D001008,CACNA2D1,Anxiety Disorders,Phase III,FALSE,,psychiatry,OTG
CALCB-D008881,CALCB,Migraine Disorders,Launched,TRUE,,neurology,OTG
CASR-D006934,CASR,Hypercalcemia,Launched,TRUE,2019,metabolic,OMIM
CETP-D006937,CETP,Hypercholesterolemia,Phase III,FALSE,,metabolic,OTG
CETP-D006938,CETP,Hyperlipoproteinemia Type II,Phase III,FALSE,,"congenital, metabolic",OTG
CETP-D050197,CETP,Atherosclerosis,Phase III,FALSE,,cardiovascular,OTG
CFTR-D003550,CFTR,Cystic Fibrosis,Launched,TRUE,,"digestive, respiratory, congenital",OMIM
CHRM3-D029424,CHRM3,"Pulmonary Disease, Chronic Obstructive",Launched,TRUE,2012,respiratory,OTG
CHRM3-D029481,CHRM3,"Bronchitis, Chronic",Launched,TRUE,2012,"infection, respiratory",OTG
CHRM3-D065631,CHRM3,"Rhinitis, Allergic",Launched,TRUE,2021,"respiratory, immune",OTG
CHRNA4-D014029,CHRNA4,Tobacco Use Disorder,Launched,TRUE,,psychiatry,OTG
COL7A1-D004820,COL7A1,Epidermolysis Bullosa,Launched,TRUE,,"congenital, dermatology",OMIM
CSF3-D009503,CSF3,Neutropenia,Launched,TRUE,2021,hematology,OTG
CSF3R-D007970,CSF3R,Leukopenia,Launched,TRUE,,hematology,OTG
CSF3R-D009503,CSF3R,Neutropenia,Launched,TRUE,2016,hematology,OMIM
DDC-D000592,DDC,"Amino Acid Metabolism, Inborn Errors",Launched,TRUE,,"congenital, metabolic",OMIM
DMD-D020388,DMD,"Muscular Dystrophy, Duchenne",Launched,TRUE,,"musculoskeletal, neurology, congenital",OMIM
DRD2-D001008,DRD2,Anxiety Disorders,Launched,TRUE,,psychiatry,OTG
