family,leg,number,source_hint,ids
Metabolic-AD,OBS,1.53,,
Metabolic-AD,GEN,1.01,PMID 32326995,PMID 32326995
Metabolic-AD,OUTCOME,Failed,"semaglutide, oral (evoke / evoke+); pioglitazone (TOMMORROW)",PMID:41865758;DOI:10.1016/S0140-6736(26)00459-9;NCT:NCT04777396;NCT:NCT04777409;PMID:34146512;DOI:10.1016/S1474-4422(21)00043-0;NCT:NCT01931566
ModRisk-AD,OBS,1.46,,
ModRisk-AD,GEN,1.1,PMID 29212772,PMID 29212772
ModRisk-AD,OUTCOME,Failed,not reported,
Anti-CD20-MS,OBS,2.23,,
Anti-CD20-MS,GEN,0.83 (0.79-0.89),PMID 36864689,PMID 36864689
Anti-CD20-MS,OUTCOME,Approved,ocrelizumab (OPERA I/II; ORATORIO); ofatumumab (ASCLEPIOS I/II); ublituximab (ULTIMATE I/II),PMID:28002679;DOI:10.1056/NEJMoa1601277;NCT:NCT01247324;NCT:NCT01412333;PMID:28002688;DOI:10.1056/NEJMoa1606468;NCT:NCT01194570;PMID:32757523;DOI:10.1056/NEJMoa1917246;NCT:NCT02792218;NCT:NCT02792231;
Smoking-MS/AD,OBS,1.46,,
Smoking-MS/AD,GEN,1.03,PMID 33253141,PMID 33253141
Smoking-MS/AD,OUTCOME,Failed,not reported,
HRT-AD,OBS,0.67,,
HRT-AD,GEN,1.0 (0.85-1.18),PMID 41350255,PMID 41350255
HRT-AD,OUTCOME,Failed,"conjugated equine estrogen 0.625 mg + medroxyprogesterone acetate 2.5 mg (WHIMS, ancillary to the WHI estrogen-plus-prog",PMID:12771112;DOI:10.1001/jama.289.20.2651;NCT:NCT00000611
BMI-AD,OBS,2.04,,
BMI-AD,GEN,1.03 (1.01-1.05),"PMID:34057091 (Li 2021, J Alzheimers Dis)","PMID:34057091 (Li 2021, J Alzheimers Dis)"
BMI-AD,OUTCOME,Failed,not reported,
VitaminD-MS,OBS,1.4,,
VitaminD-MS,GEN,2.0 (1.7-2.5),PMID 26305103,PMID 26305103
VitaminD-MS,OUTCOME,Failed,vitamin D3 (cholecalciferol) supplementation: VIDAMS; D-Lay MS; SOLAR; CHOLINE; PrevANZ,PMID:37125397;DOI:10.1016/j.eclinm.2023.101957;NCT:NCT01490502;PMID:40063041;DOI:10.1001/jama.2025.1604;NCT:NCT01817166;PMID:31594857;DOI:10.1212/WNL.0000000000008445;NCT:NCT01285401;PMID:31454777;DOI
EBV-MS,OBS,1.7,,
EBV-MS,GEN,5.0 (2.0-20.0),UNRESOLVED,UNRESOLVED
EBV-MS,OUTCOME,Approved,not reported,NCT:NCT03283826;PMID:38104476;DOI:10.1016/j.msard.2023.105364
HDL/CETP,OBS,0.62,,
HDL/CETP,GEN,0.93 (0.68-1.26),PMID 22607825,PMID 22607825
HDL/CETP,OUTCOME,Failed,torcetrapib (ILLUMINATE); dalcetrapib (dal-OUTCOMES); evacetrapib (ACCELERATE); class also includes anacetrapib (REVEAL),PMID:17984165;DOI:10.1056/NEJMoa0706628;NCT:NCT00134264;PMID:23126252;DOI:10.1056/NEJMoa1206797;NCT:NCT00658515;PMID:28514624;DOI:10.1056/NEJMoa1609581;NCT:NCT01687998;PMID:28847206;DOI:10.1056/NEJMoa
Niacin/HDL,OBS,0.62,,
Niacin/HDL,GEN,0.93 (0.68-1.26),PMID 22607825,PMID 22607825
Niacin/HDL,OUTCOME,Failed,extended-release niacin (AIM-HIGH); extended-release niacin/laropiprant (HPS2-THRIVE),PMID:22085343;DOI:10.1056/NEJMoa1107579;NCT:NCT00120289;PMID:25014686;DOI:10.1056/NEJMoa1300955;NCT:NCT00461630;PMID:24622598;DOI:10.1016/S2213-8587(13)70129-3;PMID:25178730
Homocysteine,OBS,1.32,,
Homocysteine,GEN,1.02 (0.98-1.07),PMID 22363213,PMID 22363213
Homocysteine,OUTCOME,Failed,folic acid / vitamin B6 / vitamin B12 supplementation (HOPE-2; NORVIT; 8-trial meta-analysis of the B-Vitamin Treatment ,PMID:20937919;DOI:10.1001/archinternmed.2010.348;PMID:16531613;DOI:10.1056/NEJMoa060900;NCT:NCT00106886;PMID:16531614;DOI:10.1056/NEJMoa055227;NCT:NCT00266487
CRP,OBS,1.37,,
CRP,GEN,1.0 (0.97-1.02),PMID 19567438,PMID 19567438
CRP,OUTCOME,No benefit,canakinumab (CANTOS),PMID:28845751;DOI:10.1056/NEJMoa1707914;NCT:NCT01327846;PMID:31882264;DOI:10.1016/j.tcm.2019.11.013;PMID:29265905
LDL/PCSK9,OBS,1.52,,
LDL/PCSK9,GEN,1.78 (1.58-2.01),PMID 24474739,PMID 24474739
LDL/PCSK9,OUTCOME,Approved,evolocumab (FOURIER); alirocumab (ODYSSEY OUTCOMES),PMID:28304224;DOI:10.1056/NEJMoa1615664;NCT:NCT01764633;PMID:30403574;DOI:10.1056/NEJMoa1801174;NCT:NCT01663402;PMID:26323342;PMID:26370210;PMID:31882264
Blood pressure,OBS,1.41,,
Blood pressure,GEN,1.44 (1.35-1.55),PMID 32611631,PMID 32611631
Blood pressure,OUTCOME,Approved,antihypertensive drug classes (mixed class); PROGRESS (perindopril with or without indapamide) as the stroke-specific ex,PMID:33933205;DOI:10.1016/S0140-6736(21)00590-0;PMID:11589932;DOI:10.1016/S0140-6736(01)06178-5
Triglycerides,OBS,1.72,,
Triglycerides,GEN,1.62 (1.24-2.11),PMID 24474739,PMID 24474739
Triglycerides,OUTCOME,Approved,triglyceride-lowering classes (mixed class): icosapent ethyl (REDUCE-IT); pemafibrate (PROMINENT); omega-3 carboxylic ac,PMID:30415628;DOI:10.1056/NEJMoa1812792;NCT:NCT01492361;PMID:36342113;DOI:10.1056/NEJMoa2210645;NCT:NCT03071692;PMID:33190147;DOI:10.1001/jama.2020.22258;NCT:NCT02104817;PMID:20228404;DOI:10.1056/NEJM
IL-23-psoriasis,OBS,d 0.66,"IL-23: serum SMD=0.66 (Dowlatshahi 2013, CI -0.25 to 1.58, NON-SIGNIFICANT); but tissue p19 22x elevated (Lee 2004 PMID 14707118). NOTE: OBS rests on tissue expression, not serum. Serum-vs-tissue swit",14707118
IL-23-psoriasis,GEN,0.616 (0.563-0.674),PMID 22706445,PMID 22706445
IL-23-psoriasis,OUTCOME,Approved,"guselkumab (Tremfya; anti-IL-23 p19), first-approved selective IL-23 inhibitor for the indication; ustekinumab (Stelara;",PMID:28057360;PMID:28057361;NCT:NCT02207231;NCT:NCT02207244;PMID:24679469;PMID:39114670;FDA:BLA761061;FDA:BLA125261;PMID:18486739;PMID:18486740;NCT:NCT00267969;NCT:NCT00307437
CTLA-4-RA,OBS,d 0.5,CTLA-4: sCTLA-4 elevated in RA p=0.005 (Liu 2012 PMID 22917707) 6.8 ng/mL vs controls; exact SMD not reported,22917707
CTLA-4-RA,GEN,0.86 (0.78-0.95),PMID 19404967,PMID 19404967
CTLA-4-RA,OUTCOME,Approved,"abatacept (Orencia; CTLA-4-Ig costimulation modulator), first-in-class",PMID:16785475;PMID:16162882;NCT:NCT00048568;NCT:NCT00048581;PMID:17014006;FDA:BLA125118;PMID:17565924
TNF-a-RA,OBS,d 1.93,"TNF-a: meta-analysis of 14 studies, SMD=1.93 (CI 1.23-2.64) Wang 2015 PMC4694713; 890 RA vs 441 controls",PMC4694713
TNF-a-RA,GEN,1.0,PMID 40618325,PMID 40618325
