key,slug,doi,pmid,has_record,status,url_tried,path
anstey2011,doi-10-1111-j-1467-789x-2010-00825-x,10.1111/j.1467-789X.2010.00825.x,21348917,True,paywalled,,
barth2025,doi-10-1038-s41467-025-65878-7,10.1038/s41467-025-65878-7,41350255,True,fetched,https://www.nature.com/articles/s41467-025-65878-7.pdf,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-1038-s41467-025-65878-7.pdf
belloy2023apoe,doi-10-1001-jamaneurol-2023-3599,10.1001/jamaneurol.2023.3599,37930705,False,have (manual),downloaded by hand 2026-09-23,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-1001-jamaneurol-2023-3599.pdf
beral2003mws,doi-10-1016-s0140-6736-03-14065-2,10.1016/S0140-6736(03)14065-2,,True,paywalled,,
bovijn2020,doi-10-1126-scitranslmed-aay6570,10.1126/scitranslmed.aay6570,,True,paywalled,,
brancati2021rituximab,doi-10-3389-fimmu-2021-661882,10.3389/fimmu.2021.661882,,True,fetched,https://www.frontiersin.org/articles/10.3389/fimmu.2021.661882/pdf,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-3389-fimmu-2021-661882.pdf
bruce2023modems,doi-10-1177-13524585231213241,10.1177/13524585231213241,38018409,True,paywalled,,
burgess2018lpa,doi-10-1001-jamacardio-2018-1470,10.1001/jamacardio.2018.1470,,True,have (manual),downloaded by hand 2026-09-23,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-1001-jamacardio-2018-1470.pdf
busse2019dupilumab,doi-10-1007-s12325-018-0702-4,10.1007/s12325-018-0702-4,,True,fetched,https://link.springer.com/content/pdf/10.1007/s12325-018-0702-4.pdf,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-1007-s12325-018-0702-4.pdf
cheng2014,doi-10-2147-cia-s65921,10.2147/cia.s65921,25061285,True,have (manual),downloaded by hand 2026-09-23,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-2147-cia-s65921.pdf
chinn2000,doi-10-1002-1097-0258-20001130-19-22-3127-aid-sim784-3-0-co-2-m,,11113947,True,paywalled,,
clarke2010serotonin,doi-10-1017-s0033291710000516,10.1017/S0033291710000516,,True,paywalled,,
clarke2012,doi-10-1371-journal-pmed-1001177,10.1371/journal.pmed.1001177,,True,paywalled,,
cummings2014,doi-10-1186-alzrt269,10.1186/alzrt269,,True,fetched,https://alzres.biomedcentral.com/counter/pdf/10.1186/alzrt269,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-1186-alzrt269.pdf
cummings_zhong2014,doi-10-1586-17512433-2014-884923,10.1586/17512433.2014.884923,,True,paywalled,,
cuzick2015tamoxifen,doi-10-1016-s0140-6736-13-60140-3,10.1016/S0140-6736(13)60140-3,,True,failed,http://www.thelancet.com/article/S0140673613601403/pdf,
daveysmith2014,doi-10-1093-hmg-ddu328,10.1093/hmg/ddu328,,True,have,,/Users/elliottower/Documents/GitHub/citations-library/pdfs/doi-10-1093-hmg-ddu328.pdf
elliott2009,doi-10-1001-jama-2009-954,10.1001/jama.2009.954,,True,paywalled,,
ference2019,doi-10-1056-nejmoa1806747,10.1056/NEJMoa1806747,,True,failed,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1806747?articleTools=true,
