family,leg,registered_value,value_origin,source_key,claim_ids,source_reports,classification_under_source_value,note
Metabolic-AD,OBS,OR 1.53 (no CI),quoted,zhang2017t2dad,metabolic-ad-obs,RR 1.53 (1.42-1.63),unchanged,batch4 2026-09-23
Metabolic-AD,GEN,OR 1.01 (no CI),quoted,walter2016t2dad,metabolic-ad-gen,OR for the T2D polygenic score 1.01 (0.96-1.06),unchanged,"Manuscript (v26b l.706) now cites walter2016t2dad and the pinned abstract quote carries 1.01. The registered source hint (PMID 32326995, Thomassen 2020) reports 1.04 (0.98-1.10), not 1.01; the classifier dropped the 0.96-1.06 interval. If the intended source is taken as PMID 32326995 this row reads replacement_citation."
Metabolic-AD,OUTCOME,Failed,outcome_documented,PMID:41865758;NCT:NCT04777396;NCT:NCT04777409;PMID:34146512;NCT:NCT01931566,,"evoke/evoke+ (Phase III) CDR-SB not met, discontinued; TOMMORROW (pioglitazone) terminated for futility; not submitted",unchanged,"Codebook: Phase III, efficacy not met, development discontinued. No claim in claims/ pins the trial record."
ModRisk-AD,OBS,OR 1.46 (no CI),not_checked,,,no source named in repository,unchanged,family excluded (no program) | batch4 2026-09-23
ModRisk-AD,GEN,OR 1.10 (no CI),coding_error,PMID 29212772 (Larsson 2017 BMJ),,"Larsson 2017 abstract: 24 exposures, e.g. education 0.89 (0.84-0.93), smoking quantity 0.69 (0.49-0.99); no single estimate of 1.10. Catalog: education 0.89 (0.84-0.93), SBP 1.04 (0.95-1.13). Candidate EADB-MR 2023 (JAMA Netw Open) has several 1.10 estimates, e.g. HDL MR-PRESSO 1.10 (1.05-1.16).",unchanged (1.10 (1.05-1.16) d 0.053 null; education 0.89 d 0.064 null; SBP 1.04 d 0.022 null; MR null under every candidate),Point estimate with no interval matches no row of the cited source; untraced (abstract_fallback_findings.md deep-dive; MR audit).
ModRisk-AD,OUTCOME,Failed,outcome_no_program,,,no drug program named in manuscript or classifier,unchanged,Codebook: every field not reported; polygenic composite with no trial or regulatory record.
Anti-CD20-MS,OBS,"HR 0.14 (0.05-0.39), d 1.084 [v3 obs_d]; classifier obs_OR 2.23",coding_error,hu2019,anti-cd20-ms-obs; anti-cd20-ms-obs-single-nrsi,"Filippini 2021 (Cochrane, key hu2019): one NRSI, rituximab vs interferon/glatiramer relapse HR 0.14 (0.05-0.39); OR 2.23 appears only as a CI bound of an unrelated outcome",unchanged (d 0.442 frozen vs 1.084 source; both non-trivial),"frozen classifier holds obs_OR 2.23 (d 0.442, the registration table); the v3 supplement and manuscript print HR 0.14 (d 1.084), which is pinned (anti-cd20-ms-obs). The printed value differs from the frozen input."
Anti-CD20-MS,GEN,OR 0.83 (0.79-0.89),quoted,lin2023,anti-cd20-ms-gen,FCRL3 per SD OR 0.83 (0.79-0.89),unchanged,"Exact match, point and interval."
Anti-CD20-MS,OUTCOME,Approved,outcome_documented,PMID:28002679;PMID:28002688;PMID:32757523;PMID:36001711;PMID:28523586;PMID:37556938;PMID:36920653,ocrelizumab-approved-ms; ofatumumab-approved-ms; ublituximab-approved-ms; ublituximab-rms-indication; ublituximab-rms-indication-highlights; rituximab-not-approved-ocrelizumab-approved; ofatumumab-approved; rituximab-off-label-ms,"ocrelizumab FDA 2017, ofatumumab FDA 2020, ublituximab FDA 2022; Phase III met",unchanged,"Codebook: Phase III met, approved. Rituximab (source of the OBS leg) holds no MS indication."
Smoking-MS/AD,OBS,OR 1.46 (no CI in classifier; supplement 1.33-1.59),quoted,poorolajal2017,smoking-ms-obs,1.46 (1.33-1.59),unchanged,catalog source; not cited in manuscript | batch4 2026-09-23
Smoking-MS/AD,GEN,OR 1.03 (no CI),quoted,mitchell2020smokingms,smoking-ms-gen; smoking-ms-gen-abstract,IVW 1.03 (0.92-1.16) in Results; abstract prints 0.92-1.61 (typo in source),unchanged,batch4 2026-09-23
Smoking-MS/AD,OUTCOME,Failed,outcome_no_program,,,no drug program named,unchanged,Codebook: behavioral exposure; no trial or regulatory record identified.
HRT-AD,OBS,OR 0.67 (no CI in classifier; supplement 0.58-0.78),quoted,song2020,hrt-ad-obs; hrt-ad-obs-abstract,ERT and AD OR 0.672 (0.581-0.779),unchanged,Matches to stored precision.
HRT-AD,GEN,OR 1.00 (0.85-1.18),coding_error,barth2025,hrt-ad-gen-null,"IVW betas only, no OR: estradiol -> AD combined UKB b 0.43 (se 0.23); LIFE postmenopausal b -0.04 (se 0.13); UKB premenopausal b 0.16 (se 0.25); UKB postmenopausal b 0.06 (se 0.11). Kusters 2023 (PMID 36938850) estradiol rows 0.91 (0.59-1.40), 0.84 (0.64-1.11), 0.87 (0.70-1.09).","unchanged (every source row has a CI spanning the null: combined UKB exp(0.43)=1.54, 95% CI 0.98-2.41; MR stays null)",Only the null direction is pinned (hrt-ad-gen-null). 1.00 (0.85-1.18) is untraced. Betas read as log-OR for the conversion.
HRT-AD,OUTCOME,Failed,outcome_documented,PMID:12771112;NCT:NCT00000611,hrt-ad-outcome-direction,"WHIMS Phase III: probable dementia HR 2.05 (1.21-3.48), harmful; WHI E+P stopped",unchanged,"Codebook: efficacy not met, discontinued. The manuscript's HR 1.76 belongs to WHIMS 2004 pooled (PMID 15213206), not shumaker2003; the Failed label is unaffected."
BMI-AD,OBS,RR 2.04 (no CI in classifier; supplement 1.59-2.62),quoted,anstey2011,bmi-ad-obs,obese vs normal midlife BMI and AD RR 2.04 (1.59-2.62),unchanged,Exact match.
BMI-AD,GEN,OR 1.03 (1.01-1.05),replacement_citation,li2021bmiad,bmi-ad-gen,1.03 (1.01-1.05),unchanged,manuscript cites no source for this value | batch4 2026-09-23
BMI-AD,OUTCOME,Failed,outcome_no_program,,,no trial cited; no program named,unchanged,Codebook: manuscript says weight loss 'would not prevent AD' but cites no trial.
VitaminD-MS,OBS,OR 1.40 (no CI in classifier; supplement 1.19-1.64),coding_error,munger2006,,"Munger 2006 abstract: OR 0.59 (0.36-0.97) per 50 nmol/L increase in 25(OH)D; quintile ORs vs lowest 0.57, 0.57, 0.74, 0.38 (0.19-0.75). Inverses 1.69 and 2.63; nothing gives 1.40 (1.19-1.64).","unchanged (1/0.59 = 1.69, d 0.291; 1/0.38 = 2.63, d 0.533; OBS non-trivial either way)","Abstract only (re-fetched, PMID 17179460); full text not obtainable, so a body/table value cannot be ruled out."
VitaminD-MS,GEN,OR 2.0 (1.7-2.5),quoted,mokry2015vitd,vitamind-ms-gen; vitamind-ms-gen-results,2.0 (1.7-2.5); Results 2.02 (1.65-2.46),unchanged,batch4 2026-09-23
VitaminD-MS,OUTCOME,Failed,outcome_documented,NCT:NCT01490502;PMID:40063041;NCT:NCT01817166;PMID:31594857;PMID:31454777;PMID:38085047,,"VIDAMS (Phase III) relapse HR 1.17 (0.67-2.05) not met; D-Lay MS disease activity HR 0.66 (0.50-0.87) met; SOLAR, CHOLINE, PrevANZ not met; not submitted",unchanged,"Codebook codes efficacy 'mixed' and lists the family under disagreements: registered Failed holds on the regulatory record (supplement, never submitted) but not on every Phase III readout."
EBV-MS,OBS,OR 1.70 (no CI),not_checked,,,no source named in repository,unchanged,family excluded (no program) | batch4 2026-09-23
EBV-MS,GEN,OR 5.0 (2.0-20.0),coding_error,UNRESOLVED,,"No source reports 5.0 (2.0-20.0). Nearest: Marrie 2000 prior IM OR 5.5 (1.5-19.7) and HLA-stratified IM 5.11 (2.00-13.03), both observational; repository HLA-DRB1*15:01 meta-OR 3.06 (2.30-4.08) (PMID 26656273); EBV seroconversion HR 32.4 (4.3-245) (PMID 35025605).",unchanged under every candidate (HLA-DRB1*15:01 3.06 (2.30-4.08) d 0.617 causal); no source value exists to substitute,"Two searches found no source. Supplement gives 'MR of EBV and MS (d~1.92)' with numeric fields blank. v3 codes the leg as an HLA per-allele coding variant, i.e. a variant-disease association."
EBV-MS,OUTCOME,Approved,outcome_no_program,NCT:NCT03283826;PMID:38104476,,"no EBV-directed therapy approved for MS; ATA188 (EMBOLD, Phase 1/2) terminated, primary endpoint not achieved",unchanged,Registered Approved has no program; if coded on anti-CD20 agents that is a pathway substitution the manuscript does not state.
HDL/CETP,OBS,OR 0.62 (no CI),quoted,voight2012,hdl-obs,observational per 1 SD HDL-C OR 0.62 (0.58-0.66),unchanged,Exact match; shared with the other HDL family.
HDL/CETP,GEN,OR 0.93 (0.68-1.26),quoted,voight2012,hdl-gen,14-SNP HDL score per 1 SD OR 0.93 (0.68-1.26),unchanged,"Exact match, point and interval; shared with the other HDL family."
HDL/CETP,OUTCOME,Failed,outcome_documented,PMID:17984165;PMID:23126252;PMID:28514624;PMID:28847206;PMID:30704580,,"ILLUMINATE, dal-OUTCOMES, ACCELERATE failed (Phase III); REVEAL (anacetrapib) met but approval not sought",unchanged,"Codebook codes efficacy mixed at class level (REVEAL met); every program discontinued or not submitted, so Failed holds on the regulatory record."
