family,domain,gene_target,instrument_type,obs_d,obs_type,obs_class,mr_or_raw,mr_d,mr_ci,mr_class,classification,prediction,drug_outcome,correct,status,mr_contrast,instrument_set,revised_primary_set,value_origin_obs,value_origin_gen,value_origin_outcome,source_obs,source_gen
Metabolic-AD,neuro,multiple,polygenic,0.234,epidemiological_OR,non-trivial,1.01,0.005,,null,qualitative discordance,failure,Failed,True,pre-registered,per_sd,,True,quoted,quoted,outcome_documented,zhang2017t2dad,walter2016t2dad
ModRisk-AD,neuro,multiple,polygenic,0.209,epidemiological_OR,non-trivial,1.1,0.053,,null,qualitative discordance,failure,Failed,True,pre-registered,per_sd,,True,not_checked,coding_error,outcome_no_program,,PMID 29212772 (Larsson 2017 BMJ)
Anti-CD20-MS,neuro,FCRL3,cis_pqtl,1.084,pooled_NRSI_HR,non-trivial,0.83,0.103,(0.79-0.89),causal,concordance,success,Approved,True,pre-registered,per_sd,,True,coding_error,quoted,outcome_documented,hu2019,lin2023
Smoking-MS/AD,neuro,multiple,polygenic,0.209,epidemiological_OR,non-trivial,1.03,0.016,,null,qualitative discordance,failure,Failed,True,pre-registered,per_sd,,True,quoted,quoted,outcome_no_program,poorolajal2017,mitchell2020smokingms
HRT-AD,neuro,ESR1,biomarker_gwas,0.221,epidemiological_OR,non-trivial,1.0,0.0,(0.85-1.18),null,qualitative discordance,failure,Failed,True,pre-registered,per_sd,,True,quoted,coding_error,outcome_documented,song2020,barth2025
BMI-MS,neuro,multiple,polygenic,0.36,epidemiological_OR,non-trivial,1.41,0.189,(1.2-1.66),causal,concordance,success,Pending,,pending,,,,,,,,
BMI-AD,neuro,multiple,polygenic,0.393,epidemiological_OR,non-trivial,1.03,0.016,(1.01-1.05),null,qualitative discordance,failure,Failed,True,pre-registered,per_sd,,True,quoted,replacement_citation,outcome_no_program,anstey2011,li2021bmiad
VitaminD-MS,neuro,CYP2R1,biomarker_gwas,0.186,epidemiological_OR,non-trivial,2.0,0.382,(1.7-2.5),causal,concordance,success,Failed,False,pre-registered,per_sd,25(OH)D GWAS,True,coding_error,quoted,outcome_documented,munger2006,mokry2015vitd
EBV-MS,neuro,HLA,coding_variant,0.293,epidemiological_OR,non-trivial,5.0,0.887,(2.0-20.0),causal,concordance,success,Approved,True,pre-registered,per_allele,,True,not_checked,coding_error,outcome_no_program,,UNRESOLVED
HDL/CETP,cardio,CETP,cis_pqtl,0.264,epidemiological_OR,non-trivial,0.93,0.04,(0.68-1.26),null,qualitative discordance,failure,Failed,True,pre-registered,per_sd,HDL-C GWAS (Voight 2012),True,quoted,quoted,outcome_documented,voight2012,voight2012
Niacin/HDL,cardio,CETP,cis_pqtl,0.264,epidemiological_OR,non-trivial,0.93,0.04,(0.68-1.26),null,qualitative discordance,failure,Failed,True,pre-registered,per_sd,HDL-C GWAS (Voight 2012),True,quoted,quoted,outcome_documented,voight2012,voight2012
Homocysteine,cardio,MTHFR,coding_variant,0.153,epidemiological_OR,non-trivial,1.02,0.011,(0.98-1.07),null,qualitative discordance,failure,Failed,True,pre-registered,per_genotype,,True,replacement_citation,quoted,outcome_documented,wald2002homocysteine,clarke2012
CRP,cardio,CRP,cis_pqtl,0.174,epidemiological_OR,non-trivial,1.0,0.0,(0.97-1.02),null,qualitative discordance,failure,No benefit,True,pre-registered,per_unit,CRP GWAS,True,quoted,quoted,outcome_documented,kaptoge2010crp,elliott2009
Uric acid,cardio,SLC2A9,biomarker_gwas,0.037,epidemiological_OR,trivial,1.05,0.027,(0.92-1.2),null,null concordance,ambiguous,Failed,,ambiguous,,,,,,,,
