case_id,claim,design,scale,estimate,ci_low,ci_high,n_cases,n_controls,population,source,provenance,verdict,best_tier,gap_reason,extracted_by,extract_date
MS-001,EBV seroconversion -> MS risk,genetic/cohort,hazard/rate ratio,32.4,4.3,245.0,955.0,~10M US military,White-majority,Bjornevik 2022 Science,PMID:35025605 Bjornevik 2022 Science (VERIFIED primary),Mechanistically Supported,Mechanistically Supported,UPDATED: HR 32.4(4.3-245) from primary paper,eutils auto-parse (needs biostat check),2026-07-02
MS-002,Iron-rim lesion burden vs disability,observational,odds ratio,0.24,0.15,0.39,,,,PMC 2024 review,PMID:42352643 (eutils auto),Causally Suggestive,Causally Suggestive,,eutils auto-parse (needs biostat check),2026-07-02
MS-003,Tolebrutinib HERCULES: delay CDP (SPMS),RCT,pct_slowing,31.0,,,,,,HERCULES trial,catalog_ms web700/705,Triangulated,Triangulated,,MechVal auto-extract,2026-07-02
MS-005a,Low baseline sNfL: less likely EDSS4,observational,risk ratio,4.3,,,,,,long-term cohort,catalog_ms web721,Causally Suggestive,Causally Suggestive,baseline 7.62 pg/mL; direction=protective,MechVal auto-extract,2026-07-02
MS-005b,"sNfL high -> 3mo CDP (SPMS, EXPAND)",observational,hazard ratio,1.32,1.09,1.61,1452.0,,SPMS,Kuhle 2022 Neurology,PMID:35379762 (VERIFIED),Mechanistically Supported,Mechanistically Supported,PPMS 6mo 1.48(1.01-2.17); wheelchair PPMS 2.97(1.44-6.10); replaces JNNP OR=7.8,Perplexity sweep4 verified,2026-07-02
MS-005c,Rising sNfL FU/BL ratio -> SPMS conversion,observational,odds ratio,1.48,1.08,2.02,196.0,,RRMS/CIS,NaloMS 2021,PMID:34571362 (VERIFIED),Causally Suggestive,Causally Suggestive,CORRECTED: catalog OR~49 was mis-scaled; real OR=1.48 per ratio unit,Perplexity sweep4 verified,2026-07-02
MS-006a,OCB+ -> disability outcome (MS),observational,odds ratio,1.96,,,12253.0,,multi,Dobson 2013 JNNP meta,PMID:23431079 (VERIFIED est),Causally Suggestive,Causally Suggestive,CI not in abstract,Perplexity batch2,2026-07-02
MS-006b,OCB+ -> CIS-to-MS conversion,observational,odds ratio,9.88,,,2685.0,,multi,Dobson 2013 JNNP meta,PMID:23431079 (VERIFIED est),Mechanistically Supported,Mechanistically Supported,CI not in abstract,Perplexity batch2,2026-07-02
MS-007,Genetically-lowered 25(OH)D -> MS (MR),MR,odds ratio,2.0,1.7,2.5,14498.0,24091,European,IMSGC MR,PMID:26305103 Mokry 2015 PLoS Med (VERIFIED),Mechanistically Supported,Mechanistically Supported,per 1-SD decrease log-25OHD; sensitivity OR 1.7 (1.3-2.2),Perplexity batch1 verified,2026-07-02
MS-010,Deep GM volume -> time-to-EDSS-prog,observational,hazard ratio,0.73,,,1417.0,7-center,multi,MAGNIMS,catalog_ms web742,Causally Suggestive,Causally Suggestive,HR per SD; protective direction; CI not found,MechVal auto-extract,2026-07-02
MS-011,Ocrelizumab PPMS progression benefit,RCT,hazard ratio,0.7,0.57,0.86,,,,ORATORIO-class,PMID:42208561 ORATORIO-HAND Lancet 2026 (eutils+verified),Triangulated,Triangulated,30% risk reduction,eutils auto-parse (verified),2026-07-02
MS-013a,"Childhood BMI -> MS (MR, unadjusted)",MR,odds ratio,1.26,1.17,1.77,14802.0,26703,European,MR UKB,catalog_ms web745; CI from PMID:37963678,Causally Suggestive,Causally Suggestive,per SD; drops to 1.03 adj adult BMI,eutils auto-parse (needs biostat check),2026-07-02
MS-013b,Adult BMI -> MS (MR),MR,odds ratio,1.43,,,14802.0,26703,European,MR UKB/IMSGC,catalog_ms web745/718,Mechanistically Supported,Mechanistically Supported,"per SD, pleiotropy-robust; CI not found",MechVal auto-extract,2026-07-02
MS-015,EDSS effect size in progressive MS (2yr),observational,effect size,0.25,,,,,,prog-MS trials review,catalog_ms web768,Proposed,Proposed,reported 0.2-0.3; midpoint used,MechVal auto-extract,2026-07-02
MS-016,Early-HET vs late: EDSS diff @10yr,observational,mean diff,-0.98,,,300.0,,,retrospective cohort,catalog_ms web760/764,Causally Suggestive,Causally Suggestive,confounding-by-indication live; p<0.0001,MechVal auto-extract,2026-07-02
MS-017,HLA-DRB1*15:01 -> MS,genetic,odds ratio,3.06,2.3,4.08,,,multi (Cauc/Asian/AfAm),meta-analysis,PMID:26656273 Xiao 2015 SciRep meta (VERIFIED),Mechanistically Supported,Mechanistically Supported,pooled meta-OR from 5-study interaction meta-analysis,Perplexity batch2 verified,2026-07-02
MS-018a,HLA-DRB1*15:01 x EBV additive interaction,observational,synergy index,1.43,1.05,1.95,,,multi,Xiao 2015 SciRep,PMID:26656273 (VERIFIED),Mechanistically Supported,Mechanistically Supported,multiplicative interaction NULL: OR 0.86 (0.59-1.26),Perplexity batch2 verified,2026-07-02
MS-018b,EBV seropositivity alone -> MS,observational,odds ratio,2.6,1.48,4.59,,,multi,Xiao 2015 SciRep,PMID:26656273 (VERIFIED),Mechanistically Supported,Mechanistically Supported,from interaction meta-analysis,Perplexity batch2 verified,2026-07-02
MS-020,Female sex -> MS incidence,observational,odds ratio,,,,,,,Atlas of MS,Atlas of MS global,Mechanistically Supported,Mechanistically Supported,~3:1 F:M; no pooled OR extracted,Perplexity batch2,2026-07-02
MS-021,Smoking -> MS (MR negative control),MR,odds ratio,1.03,0.89,1.19,,,,IMSGC smoking MR,Perplexity sweep11 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null IVW; obs smoking->MS positive but MR null — confound,Perplexity sweep11 verified,2026-07-02
MS-028,Cladribine 3.5mg -> 3mo CDP (CLARITY),RCT,hazard ratio,0.67,0.48,0.93,437.0,437.0,multi,Giovannoni 2010 NEJM,PMID:20089960 (VERIFIED),Mechanistically Supported,Mechanistically Supported,HR 0.67 (0.48-0.93) p=0.02 sustained 3mo EDSS progression,Perplexity sweep4 verified,2026-07-02
MS-029,Natalizumab -> sustained CDP (AFFIRM),RCT,hazard ratio,0.58,0.43,0.77,942.0,,multi,Polman 2006 NEJM,PMID:16510744 (VERIFIED),Triangulated,Triangulated,42% reduction,Perplexity batch2 verified,2026-07-02
AD-001,Amyloid-PET+ -> conversion to AD (aMCI),observational,hazard ratio,3.74,1.21,11.58,47.0,,cohort,Sci Rep 2018 PiB aMCI,PMID:29625056 (VERIFIED),Causally Suggestive,Causally Suggestive,"small n, wide CI",Perplexity batch3 verified,2026-07-02
AD-001b,Amyloid-PET+ (PiB) -> MCI-AD conversion,observational,hazard ratio,10.2,1.3,78.1,,,memory clinic,memory-clinic PIB study,PMID:29546632 (VERIFIED),Causally Suggestive,Causally Suggestive,"very wide CI, small sample",Perplexity batch3 verified,2026-07-02
AD-002a,APOE4 heterozygous -> AD,genetic,odds ratio,3.46,3.27,3.65,,,White,Belloy 2023 JAMA Neurol,PMID:36622685 (VERIFIED),Mechanistically Supported,Mechanistically Supported,"ancestry-stratified: EAsian 4.54, Black 2.18, Hisp 1.90",Perplexity batch3 verified,2026-07-02
AD-002b,APOE4 homozygous -> AD,genetic,odds ratio,23.5,,,,,multi,meta,catalog_ad web946/952/949,Mechanistically Supported,Mechanistically Supported,reported 13-34; midpoint; CI needs Belloy 2023 ε4/ε4 stratification,MechVal auto-extract,2026-07-02
AD-002c,APOE4/4 women -> AD,genetic,odds ratio,13.5,,,,,multi,meta,catalog_ad web956,Mechanistically Supported,Mechanistically Supported,reported 12-15; midpoint; CI not found,MechVal auto-extract,2026-07-02
AD-003,sTREM2 microglial -> AD (proteomic MR),MR,z-score,9.1,,,,,,plasma-proteomic MR,catalog_ad web930/927,Mechanistically Supported,Mechanistically Supported,"z=9.1, p~1e-19",MechVal auto-extract,2026-07-02
AD-004,"IL-6 signaling -> AD (MR, NEG control)",MR,odds ratio,1.0,0.92,1.09,,,,IL6 MR AD,Perplexity sweep11 (VERIFIED),Disconfirmed,Disconfirmed,VERIFIED null; inflammation non-causal on this axis,Perplexity sweep11 verified,2026-07-02
AD-005b,T2D -> AD (updated cohort meta),observational,risk ratio,1.53,1.42,1.63,,,multi,2017 updated meta,PMID:28088029 (VERIFIED),Mechanistically Supported,Mechanistically Supported,"Eastern 1.62, Western 1.36; APOE-adj HR may attenuate",Perplexity batch3 verified,2026-07-02
AD-006,Amyloid-PET Centiloid harmonization,diagnostic,r2,0.9,,,,,,Centiloid,catalog_ad web958,Mechanistically Supported,Mechanistically Supported,cross-tracer r2~0.9,MechVal auto-extract,2026-07-02
AD-007,Tau-PET -> cognitive decline,observational,correlation,,,,,,,multi,Ossenkoppele 2021,Causally Suggestive,Causally Suggestive,regional r only (-0.45 to -0.002); no single HR,Perplexity batch3,2026-07-02
AD-009a,Plasma p-tau217 sensitivity,diagnostic,proportion,0.825,,,,,,meta p-tau217,catalog_ad web959,Mechanistically Supported,Mechanistically Supported,82-83% sens,MechVal auto-extract,2026-07-02
AD-009b,Plasma p-tau217 specificity,diagnostic,proportion,0.845,,,,,,meta p-tau217,catalog_ad web959,Mechanistically Supported,Mechanistically Supported,83-86% spec,MechVal auto-extract,2026-07-02
AD-009c,Abnormal p-tau217 CU -> impairment,observational,hazard ratio,7.81,3.92,15.59,,,,CU cohort,UTSW p-tau217 2025 A+T+ Cox HR (VERIFIED),Mechanistically Supported,Mechanistically Supported,corrected 6.6->7.81 per Perplexity batch1,Perplexity batch1 verified,2026-07-02
AD-010,sTREM2/GFAP -> progression,observational,hazard ratio,,,,,,,cohort,Benedet/Morenas-Rodriguez,Proposed,Proposed,no ratio-scale HR extracted,Perplexity batch3,2026-07-02
AD-020,"T2D -> AD (MR, per-factor)",MR,odds ratio,,,,,,,MR dementia-prevention,catalog_ad web948,Causally Suggestive,Causally Suggestive,mixed MR; estimate not numerically given,MechVal auto-extract,2026-07-02
AD-021,"Education -> AD (MR, protective)",MR,odds ratio,,,,,,,MR dementia-prevention,catalog_ad web948,Causally Suggestive,Causally Suggestive,pleiotropy-prone; no number in catalog,MechVal auto-extract,2026-07-02
AD-022,SBP -> dementia (MR),MR,odds ratio,,,,,,,MR dementia-prevention,catalog_ad web948,Causally Suggestive,Causally Suggestive,best prevention leg; no number in catalog,MechVal auto-extract,2026-07-02
AD-023,GLP-1 semaglutide CDR-SB (EVOKE),RCT,pct_slowing,0.0,,,3808.0,,,EVOKE/EVOKE+,catalog_ad web980/974,Disconfirmed,Disconfirmed,null: no separation from placebo,MechVal auto-extract,2026-07-02
AD-005h,Midlife obesity -> AD,observational,risk ratio,2.04,1.59,2.62,,,multi,Anstey 2011 meta,PMID:21348917 (VERIFIED),Mechanistically Supported,Mechanistically Supported,any-dementia 1.64(1.34-2.00); U-shaped (low BMI also up),Perplexity sweep6 verified,2026-07-02
AD-005h2,Midlife obesity -> dementia (Deng),observational,risk ratio,1.78,1.31,2.41,,,multi,Deng 2019 meta 34 cohorts,PMID:31902364 (VERIFIED),Mechanistically Supported,Mechanistically Supported,,Perplexity sweep6 verified,2026-07-02
AD-005i,Current smoking -> dementia,observational,risk ratio,1.61,1.32,1.95,,,multi,Deng 2019 meta,PMID:31902364 (VERIFIED),Mechanistically Supported,Mechanistically Supported,smoking MR NULL in MS (MS-021) — confound signature,Perplexity sweep6 verified,2026-07-02
AD-005j,Hypercholesterolemia -> dementia,observational,risk ratio,1.57,1.19,2.07,,,multi,Deng 2019 meta,PMID:31902364 (VERIFIED),Mechanistically Supported,Mechanistically Supported,,Perplexity sweep6 verified,2026-07-02
AD-005k,Midlife hypertension -> dementia,observational,risk ratio,1.72,1.25,2.37,,,multi,Deng 2019 meta,PMID:31902364 (VERIFIED),Mechanistically Supported,Mechanistically Supported,borderline BP 1.41(1.23-1.62),Perplexity sweep6 verified,2026-07-02
