cluster,k,note,pooled,ci_low,ci_high,I2,tau2,PI_low,PI_high
AD|MR|odds ratio,1,n<2 with CI -> report separately,,,,,,,
AD|RCT|hazard ratio,6,,1.152885262033021,0.9998147417870358,1.329390707959835,62.4,0.017,0.7825957069878561,1.698379400174211
AD|RCT|risk ratio,3,,1.0226637454959757,0.9341603884344213,1.119552005522954,53.9,0.003,0.741656024905114,1.4101431138318614
AD|genetic|odds ratio,1,n<2 with CI -> report separately,,,,,,,
AD|observational|hazard ratio,6,,1.6965684895808708,1.3697940680368448,2.101297346077641,85.8,0.037,0.9587616784869989,3.0021481922191247
AD|observational|odds ratio,2,,1.895747133785318,1.7007373777759627,2.1131170762854046,0.0,0.0,0.9379135017348856,3.83175760729277
AD|observational|relative risk,3,,1.4470224735062496,1.2338928051392948,1.6969659196576368,74.2,0.014,0.775612263048728,2.6996401921259934
AD|observational|risk ratio,7,,1.594258250471874,1.5009080256443865,1.6934144702880294,2.4,0.0,1.4653515874512433,1.734504804828766
MS|MR|odds ratio,3,,1.3701888165113387,0.9208990514078352,2.0386788215522853,93.1,0.115,0.2509054558626806,7.482569027595179
MS|RCT|hazard ratio,9,,0.7409505848935799,0.6449704296067672,0.8512138604383204,54.1,0.023,0.5025454268350075,1.0924540149768092
MS|RCT|odds ratio,2,,1.2264442038217218,0.7983361534994293,1.8841253505738575,0.0,0.0,0.07583328621275076,19.835160260204898
MS|RCT|rate ratio,2,,0.5308730675748325,0.4351183960452558,0.6477000660918978,0.0,0.0,0.14621402787827553,1.9274909389059138
MS|genetic|odds ratio,1,n<2 with CI -> report separately,,,,,,,
MS|genetic/cohort|hazard/rate ratio,1,n<2 with CI -> report separately,,,,,,,
MS|observational|hazard ratio,1,n<2 with CI -> report separately,,,,,,,
MS|observational|odds ratio,3,,0.9717280855284578,0.2660271613778989,3.5494701643019857,96.1,1.255,0.003606215259823492,261.84112821124796
MS|observational|risk ratio,0,n<2 with CI -> report separately,,,,,,,
