family,genetic_leg_source,design_as_stated,iv_estimate,has_ci,verdict,note
Metabolic-AD,PMID 32326995,"we investigated the associations between type-2 diabetes and Alzheimer's disease, vascular dementia, unspecified dementia and all-cause dementia, and whether observational associations were of a causal nature by applying a two-sample Mendelian randomisation strategy",yes,yes,MR-instrumented,"Thomassen 2020 Epidemiol Psychiatr Sci; MR estimate for AD 1.04 (0.98-1.10). Classifier holds OR 1.01 with no CI. The repo ledger (data/effect_sizes_v12.csv, AD-020) cites PMID 32330418, which resolves to an unrelated TET2 genome-sequencing paper; the author-year (Thomsen/Nordestgaard 2020) and the stated sample (Danish 1M / IGAP) match PMID 32326995. | Stored OR 1.01 is Walter 2016 (PMID 26650880): ""OR for the T2D polygenic score=1.01; 95% CI 0.96, 1.06"" (verified on PubMed). The catalog row AD-020 cites PMID 32330418, which is a different paper."
ModRisk-AD,PMID 29212772,Design: Mendelian randomisation study using genetic variants associated with the modifiable risk factors as instrumental variables,yes,yes,MR-instrumented,"Larsson 2017 BMJ; 24 exposures, each reported as an OR with a 95% CI per genetically predicted increase. The classifier's OR 1.10 (no CI) does not correspond to any single estimate in the abstract (education 0.89 (0.84-0.93); smoking quantity 0.69 (0.49-0.99)), so the family's point estimate is not traceable to a specific row of the cited source."
Anti-CD20-MS,PMID 36864689,We performed Mendelian randomization to explore potential drug targets for multiple sclerosis using summary statistics from the International Multiple Sclerosis Genetics Consortium ... Genetic instruments for 734 plasma and 154 CSF proteins were obtained from recently published genome-wide association studies,yes,yes,MR-instrumented,Lin 2023 Brain. FCRL3 OR 0.83 (95% CI 0.79-0.89) per SD matches the classifier exactly.
Smoking-MS/AD,PMID 33253141,We used two-sample Mendelian randomization (MR) to examine whether this association is causal using genetic variants identified in genome-wide association studies (GWASs) as associated with smoking,yes,yes,MR-instrumented,"Mitchell 2020 PLoS Biol; smoking initiation OR 1.03 (95% CI 0.92-1.61) on IMSGC MS, matching the classifier's 1.03 (classifier carries no CI). Vandebergh 2020 (PMID 32529581) is a second null smoking-MS MR; either is an IV design."
HRT-AD,PMID 41350255,"we perform two-sample Mendelian randomization ... We test for causal links between genetically-predicted factors related to estradiol exposure (estradiol levels in pre- and postmenopausal samples, reproductive span, age at menarche, age at menopause, number of childbirths) and brain age gap, Alzheimer's disease and depression as outcomes",yes,yes,MR-instrumented,"Oppenheimer/Barth 2025 Nat Commun, cited as 'Barth 2025 estradiol MR' in paper/supplementary_data.csv. The specific OR 1.00 (0.85-1.18) is not in the abstract and was not verified against the full text. The classification table codes gene_target ESR1 / biomarker_gwas, but the cited estimate instruments estradiol exposure, not an ESR1 variant-disease OR."
VitaminD-MS,PMID 26305103,"We undertook a Mendelian randomization (MR) study to evaluate whether genetically lowered vitamin D level influences the risk of MS ... Alleles were weighted by their relative effect on 25OHD level, and sensitivity analyses were performed to test MR assumptions",yes,yes,MR-instrumented,"Mokry 2015 PLoS Med; each genetically determined 1-SD decrease in log 25OHD confers OR 2.0 (95% CI 1.7-2.5) for MS, matching the classifier exactly."
BMI-AD,"PMID:34057091 (Li 2021, J Alzheimers Dis)","""Genetically predicted 1-SD increase in adult BMI was significantly associated with higher risk of AD (IVW: OR = 1.03, 95% confidence interval [CI] = 1.01-1.05, p = 2.7x10-3)"" (two-sample MR)",yes,yes,MR-instrumented,"paper/supplementary_data.csv names the genetic leg only as 'Life-course MR BMI-AD (near null)'; no PMID or DOI appears anywhere in the repository for OR 1.03 (1.01-1.05). The closest published BMI-AD MR, Nordestgaard 2017 (PMID 28609829), reports 0.98 (0.77-1.23) per 1 kg/m2 and 1.02 (0.86-1.22) per SD, neither of which matches. PubMed and Europe PMC searches on BMI/adiposity x Alzheimer x Mendelian randomization returned no source reporting 1.03 (1.01-1.05). | Source located after the audit (literature search, abstract verified on PubMed 2026-09-22)."
EBV-MS,UNRESOLVED,(no source identifier in the repository),no (as coded),yes (in the classifier; source unidentified),unresolved,"No source in the repository reports OR 5.0 (95% CI 2.0-20.0). data/cross_design_classification_all_41_families_v3.csv codes the genetic leg instrument_type=coding_variant, gene_target=HLA, mr_contrast=per_allele, which describes a variant-disease association rather than an IV estimate; paper/supplementary_data.csv says 'MR of EBV and MS (d~1.92)' with every numeric field blank. The repository's own HLA-DRB1*15:01 meta-OR is 3.06 (2.30-4.08) (PMID 26656273) and its EBV cohort estimate is HR 32.4 (4.3-245) (PMID 35025605); neither matches. If the leg is the HLA-DRB1*15:01 association, the family fails the MR-instrumented rule. | Still unresolved after a second search: no paper reports 5.0 (2.0-20.0). Closest matches are observational (Marrie 2000 prior infectious mononucleosis OR 5.5, 1.5-19.7; an HLA-stratified IM meta-analysis 5.11, 2.00-13.03)."
HDL/CETP,PMID 22607825,Exploiting the fact that genotypes are randomly assigned at meiosis ... mendelian randomisation can be used to test the hypothesis that the association of a plasma biomarker with disease is causal ... we used as an instrument a genetic score consisting of 14 common SNPs that exclusively associate with HDL cholesterol,yes,yes,MR-instrumented,Voight 2012 Lancet; the 14-SNP HDL-C score MR. Classifier OR 0.93 (0.68-1.26).
Niacin/HDL,PMID 22607825,Exploiting the fact that genotypes are randomly assigned at meiosis ... mendelian randomisation can be used to test the hypothesis that the association of a plasma biomarker with disease is causal ... we used as an instrument a genetic score consisting of 14 common SNPs that exclusively associate with HDL cholesterol,yes,yes,MR-instrumented,"Same estimate as HDL/CETP; the two families are identical on every evidence column, as Amendment 5's foreknowledge section records."
